period,column,percent_null
3,2G Bands,98.76097057305111
3,3G,98.6060918946825
3,3G Bands,98.81259679917397
3,4G,85.3381517811048
3,4G Bands,98.76097057305111
3,5G,42.230252968508005
3,5G Bands,100.0
3,Actual Price,8.879710893133712
3,Additional Connectivity,98.6060918946825
3,Audio Formats,66.64945792462571
3,Audio Jack,65.20392359318534
3,Available,8.879710893133712
3,BIS Model Number,70.31491997934951
3,Battery Capacity,29.22044398554466
3,Battery Run Time,71.708828084667
3,Battery Voltage,100.0
3,Bluetooth,23.386680433660302
3,Bluetooth Version,26.277749096541044
3,Brand,8.879710893133712
3,Category,8.879710893133712
3,Cellular Technology,62.51935983479607
3,Colour,21.683014971605576
3,Commodity name,20.753742901393906
3,Cost per Item,8.879710893133712
3,Country of Origin,8.879710893133712
3,Currency,8.879710893133712
3,Customer care Phone,15.745998967475478
3,Customer care address,19.411461022199276
3,Customer care email,15.694372741352607
3,Dependent Product,8.879710893133712
3,Description,8.879710893133712
3,Display Type,57.769747031492
3,EDGE,95.19876097057305
3,Expandable Memory,100.0
3,FM Radio,100.0
3,Features,52.194114610221995
3,Fingerprint Recognition,33.815178110480126
3,GPRS,100.0
3,Glass Type,99.27723283427981
3,Gtin Type,8.879710893133712
3,Gtin Value,8.879710893133712
3,Height,98.6060918946825
3,Height (cm),8.879710893133712
3,Highlights,9.91223541559112
3,Hybrid SIM Slot,78.11048012390295
3,In The Box,18.120805369127517
3,Internal Storage,26.432627774909655
3,Item Height,20.340733092410947
3,Item Length,20.340733092410947
3,Item Width,20.340733092410947
3,Length (cm),8.879710893133712
3,Media,8.879710893133712
3,Memory (RAM),29.065565307176044
3,Microphone,91.17191533298916
3,Mobile Type,100.0
3,Model,19.97934950955085
3,Month and Year of Commodity First Manufactured/Imported/Packed,20.443985544656684
3,Multi Size,8.879710893133712
3,Multiple Country Origin,15.900877645844089
3,NFC,99.38048528652556
3,Name,8.879710893133712
3,Name and address of Importer,53.484770263293754
3,Name and address of Manufacturer,23.180175529168817
3,Name and address of Marketed By,26.432627774909655
3,Name and address of Packer,25.348477026329373
3,Name of Seller,19.669592152813628
3,Net Quantity,16.313887454827054
3,Net Quantity Value,99.94837377387714
3,Net Weight,20.340733092410947
3,No of Boxes,8.879710893133712
3,OTG Support,74.65152297367062
3,Operating System,17.862674238513165
3,Operating System Type,32.318017552916885
3,Phone Book Capacity,100.0
3,Preloaded Apps,99.32885906040269
3,Primary Camera,98.50283944243677
3,Primary Colour,94.83737738771296
3,Primary Colour Hex Code,98.34796076406815
3,Processor,16.881775942178624
3,Product Bundle,21.683014971605576
3,Product Dead Weight (gram),8.879710893133712
3,Product Publishing Date,14.403717088280846
3,Quick Charge,46.566855962829116
3,Rear Camera,27.000516262261225
3,Recommended For Gaming,78.72999483737739
3,Reporting HSN Code,8.879710893133712
3,Return Time Unit,8.879710893133712
3,SIM Type,44.863190500774394
3,Screen Resolution,44.70831182240578
3,Screen Size (Diagonal),15.591120289106867
3,Selfie Camera,19.617965926690758
3,Seller Identifier,8.879710893133712
3,Selling Price,8.879710893133712
3,Sensors,36.80949922560661
3,Series,52.09086215797625
3,Size,8.879710893133712
3,Slug,8.879710893133712
3,Speaker,100.0
3,Standby Time,94.01135776974702
3,Storage Type,83.0665978316985
3,Sub-brand,66.4945792462571
3,Tags,8.879710893133712
3,Talk Time,92.20443985544657
3,Teaser Tag Name,25.03871966959215
3,Thickness,98.6060918946825
3,Touch Screen,100.0
3,Track Inventory,8.879710893133712
3,Trader Address,14.713474445018068
3,Trader Name,14.713474445018068
3,Trader Type,8.879710893133712
3,UID,8.879710893133712
3,USB,51.67785234899329
3,Verification Status,8.879710893133712
3,Video Formats,67.78523489932886
3,Video Playback Time (Hours),99.4837377387713
3,Warranty,16.26226122870418
3,Water Resistant,57.769747031492
3,Weight,98.6060918946825
3,Wi Fi,98.45121321631389
3,Width,98.6060918946825
3,Width (cm),8.879710893133712
3,Wireless Charging Support,78.93649974186887
3,search-whitelist,99.32885906040269
6,2G Bands,97.16312056737588
6,3G,96.91280767626199
6,3G Bands,97.24655819774718
6,4G,82.81184814351272
6,4G Bands,97.20483938256153
6,5G,47.476011681268254
6,5G Bands,100.0
6,Actual Price,8.17688777638715
6,Additional Connectivity,96.87108886107634
6,Audio Formats,65.081351689612
6,Audio Jack,60.659157279933254
6,Available,8.17688777638715
6,BIS Model Number,66.75010429703796
6,Battery Capacity,26.61660408844389
6,Battery Run Time,71.17229870671673
6,Battery Voltage,100.0
6,Bluetooth,21.234876929495204
6,Bluetooth Version,25.406758448060074
6,Brand,8.17688777638715
