MistakeQueries,CorrectedQueries,EditDistance
casul shoes,casual shoes,1
sndals,sandals,1
shorts 3/4ts,shorts 3/4ths,2
leggins,leggings,1
dres material,dress material,1
skirtz,skirts,1
nightshirts nites,nightshirts nighties,2
kurta st,kurta set,1
flt shoes,flat shoes,1
bakpack,backpack,1
avasa kurta,avaasa kurta,1
sarees for wmen,sarees for women,1
avsa,avasa,1
mn shirt,men shirt,1
jacket for mn,jacket for men,1
netplay for mn,netplay for men,1
curtains acessories,curtains accessories,1
puma shos men,puma shoes men,1
swetshirts,sweatshirts,1
aavasa kurti,aavasa kurtis,1
kurt for men,kurta for men,1
sweatshirts for womn,sweatshirts for women,1
bots for women,boots for women,1
jackets shugs,jackets shrugs,1
jeans jeggings for womn,jeans jeggings for women,1
hand bgs,hand bags,1
kids shos,kids shoes,1
puma shoes for womn,puma shoes for women,1
shoes for mn,shoes for men,1
red tape shos,red tape shoes,1
shoe for mnn,shoes for men,2
maternit dress,maternity dress,2
flat sandals for womn,flat sandals for women,1
white shoes for womn,white shoes for women,1
t shirt for bys,t-shirt for boys,2
kids drss,kids dress,1
boys sts,boys sets,1
jumpsut,jumpsuit,1
heeled sandals for womn,heeled sandals for women,1
addidas shos,adidas shoes,1
nike shoes mn,nike shoes men,1
men jackts,men jackets,1
men slipprs,men slippers,1
avsa,avasa,1
shawls wrapps,shawls wraps,1
lether shoes,leather shoes,1
caps for mn,caps for men,1
addidas,adidas,1
skechers,skechers,0
womens tp,women's top,1
party wear sare,party wear saree,1
shirt womn,shirt women,1
avaasa kurta for womn,avaasa kurta for women,1
jackets mn,jackets men,1
plazo,palazzo,1
red tape shoes for mn,red tape shoes for men,1
high rise jns,high rise jeans,1
foot wear for womn,footwear for women,2
sliper,slippers,1
women sarees,women sarees,0
cot,coat,1
net play shrt,netplay shirt,2
sare,saree,1
earrings for womn,earrings for women,1
lehnga,lehenga,1
sandl,sandal,1
check shirt for mn,check shirt for men,1
dresses and froks,dresses and frocks,1
louis philippe for mn,louis philippe for men,1
wallet for womn,wallet for women,1
wedgs,wedges,1
girls tps,girls tops,1
night lounge wear sts,night lounge wear sets,2
track suit for womn,tracksuit for women,2
formal tops for womn,formal tops for women,1
nike for womn,nike for women,1
women crop tp,women crop top,1
ajio for womn,ajio for women,1
siyahi kurtas for womn,siyahi kurtas for women,1
black dresses for womn,black dresses for women,1
short kurt,short kurta,1
