query,mistake,edit-distance,mistake_type
sarees,ssrees,1,keyboard-confusion
ethnic wear,ethnic wer,1,missing-char
dupattas,dupathas,1,keyboard-confusion
kurtis tunics,kurtis tuniccs,1,extra-char
sarees for women,saarees for women,1,extra-char
laptop bags,laptoop bags,1,extra-char
trousers,troussers,1,double-letter
blazer for men,blazer or men,1,missing-char
teamspirit for women,teamspirit for wommen,1,double-letter
night wear for women,night wear forr women,1,extra-char
night dress for women,nihht dress for women,1,keyboard-confusion
mens t shirts,mens t shiirts,1,extra-char
skirt for women,skirrt for women,1,double-letter
puma t shirt,puma t shirg,1,keyboard-confusion
women bra,women brra,1,double-letter
women flat sandals,women flat sndals,1,missing-char
sportswear,sportsweear,1,extra-char
skechers shoes for women,skechers shoes fr women,1,missing-char
western top for women,estern top for women,1,missing-char
formal shirts men,fformal shirts men,1,double-letter
men lower,meen lower,1,double-letter
blezer,blezsr,1,keyboard-confusion
levi jeans for women,levi jean for women,1,missing-char
jackets women,jackeets women,1,double-letter
stationery organisers,stationery organiserrs,1,extra-char
kimayra,kimaura,1,keyboard-confusion
avaasa for women,vaasa for women,1,missing-char
dnmx tshirt for women,dnx tshirt for women,1,missing-char
anarkali set,anarkaki set,1,keyboard-confusion
t shirt boys,t shirt boyd,1,keyboard-confusion
rings for men,rings or men,1,missing-char
adidas tshirts for men,adidas tshirts foor men,1,double-letter
kurta bottom set,kjrta bottom set,1,keyboard-confusion
teamsprit,teamspriit,1,extra-char
women crop tops,womdn crop tops,1,keyboard-confusion
aavasa leggings,aavasa keggings,1,keyboard-confusion
white shoe,whitee shoe,1,double-letter
sleeveless tops,sleeveeless tops,1,double-letter
women wedges,womeh wedges,1,keyboard-confusion
being human for men,being yuman for men,1,keyboard-confusion
nighties for women,nightiies for women,1,extra-char
winter jackets for men,winter jacketts for men,1,double-letter
flip flop for men,flipp flop for men,1,double-letter
black dress for women,black drezs for women,1,keyboard-confusion
john players shirt,john playegs shirt,1,keyboard-confusion
dhuni,ddhuni,1,double-letter
fyre rose for women,fyre rose for wonen,1,keyboard-confusion
pullovers for men,pulloovers for men,1,extra-char
womens dresses,women dresses,1,missing-char
track,rack,1,missing-char
black jacket,black jackeet,1,extra-char
laptop bags for women,lapto bags for women,1,missing-char
shorts for kids,shorts for lids,1,keyboard-confusion
plazzo for women,plazzo for woen,1,missing-char
ketch shirts for men,ketch shirts for en,1,missing-char
chains for women,chains for womenn,1,double-letter
wide leg pants,wide leg pans,1,missing-char
avaasa plazo,avaasaa plazo,1,double-letter
gardening planters,gardeniing planters,1,double-letter
formal paint,formal painy,1,keyboard-confusion
rare rabit,rare rabiy,1,keyboard-confusion
sleepers for women,soeepers for women,1,keyboard-confusion
shapewear for women,shapewear forr women,1,double-letter
kurti set women,kurti seg women,1,keyboard-confusion
cotton suits,cotton xuits,1,keyboard-confusion
us polo assn for men,u polo assn for men,1,missing-char
track pants for girls,track pants for irls,1,missing-char
lip stick for women,lip stick for domen,1,keyboard-confusion
white pant,white paant,1,double-letter
