Original Token,Corrected Token,Query
downshifter,downshifter,nike downshifter
downshifter,downshifter,nike downshifter 13
downshifter,downshifter,downshifter 13
strobe,strobe,strobe cream
chaniya,chaniya,chaniya choli
mmtc,mmtc,mmtc
downshifter,downshifter,downshifter
coolers,coolers,coolers
downshifter,downshifter,nike downshifter 13 shoes
inddus,inddus,inddus
modi,modi,modi jacket
downshifter,downshifter,nike downshifter 12
vomero,vomero,nike vomero
google,google,google
xpdtn,xpdtn,dnmx xpdtn
avaa,avaa,avaa
bazar,bazar,meena bazar
lipliner,lipliner,lipliner
rapido,rapido,moda rapido
mandir,mandir,mandir
macho,macho,macho
neerus,neerus,neerus
nestasia,nestasia,nestasia
sambalpuri,sambalpuri,sambalpuri saree
strobe,strobe,faces canada strobe cream
cloudfoam,cloudfoam,adidas cloudfoam
virat,virat,virat kohli
kohli,kohli,virat kohli
claura,claura,claura
vomero,vomero,vomero
idli,idli,idli maker
downshifter,downshifter,nike downshifter 13 men
zebronics,zebronics,zebronics
modi,modi,modi coat
virat,virat,virat kohli jersey
kohli,kohli,virat kohli jersey
jaden,jaden,fur jaden
mmtc,mmtc,mmtc pamp
truman,truman,alan truman
sambalpuri,sambalpuri,sambalpuri kurti
chura,chura,chura
victori,victori,nike victori
downshifter,downshifter,nike downshifter shoes
downshifter,downshifter,nike downshifter 11
mmtc,mmtc,mmtc gold coin
downshifter,downshifter,downshifter 13 nike
vomero,vomero,nike vomero 18
macho,macho,amul macho
khushal,khushal,khushal k
macho,macho,macho underwear
masala,masala,masala box
mmtc,mmtc,mmtc gold
sunrisers,sunrisers,sunrisers hyderabad
facemask,facemask,facemask
downshifter,downshifter,downshifter 12
mandir,mandir,pooja mandir
downshifter,downshifter,nike downshifter 13 running shoes
victori,victori,nike victori one
sambalpuri,sambalpuri,sambalpuri dress
vomero,vomero,vomero 17
pagdi,pagdi,pagdi
vomero,vomero,nike vomero 17
sambalpuri,sambalpuri,sambalpuri
sunrisers,sunrisers,sunrisers
strobe,strobe,strobe
nayra,nayra,nayra cut
nayra,nayra,nayra suit
milenio,milenio,puma milenio
bazar,bazar,meena bazar saree
downshifter,downshifter,nike downshifter men
lipliner,lipliner,mars lipliner
strobe,strobe,mac strobe cream
nayra,nayra,nayra cut kurti
inddus,inddus,inddus kurta set
indiclub,indiclub,indiclub
google,google,google pixel
